# Coinbase — every documented endpoint, enumerated 2026-08-31
#
# Method and path read from each page's own `pageMetadata.openapi` field.
# derivatives-api and Deribit publish specs instead; those are listed from the spec.
# page<TAB>METHOD path

prime-api/rest-api/financing/create-new-locates	POST /v1/portfolios/{portfolio_id}/locates
prime-api/rest-api/financing/get-conversion-fees	get /v1/conversion/fees
prime-api/rest-api/financing/get-conversion-fees-beta	get /v1/entities/{entity_id}/conversion/fees
prime-api/rest-api/financing/get-cross-margin-liquidation	get /v1/entities/{entity_id}/cross_margin/liquidation
prime-api/rest-api/financing/get-cross-margin-overview	get /v1/entities/{entity_id}/cross_margin
prime-api/rest-api/financing/get-cross-margin-risk-parameters	get /v1/entities/{entity_id}/cross_margin/risk_parameters
prime-api/rest-api/financing/get-cross-margin-risk-parameters-beta	get /v1/entities/{entity_id}/cross_margin/risk_parameters
prime-api/rest-api/financing/get-entity-locate-availabilities	GET /v1/entities/{entity_id}/locates_availability
prime-api/rest-api/financing/get-exchange-cross-margin-overview	get /v1/entities/{entity_id}/cross_margin
prime-api/rest-api/financing/get-margin-information	GET /v1/entities/{entity_id}/margin
prime-api/rest-api/financing/get-market-data	get /v1/entities/{entity_id}/market_data
prime-api/rest-api/financing/get-market-data-beta	get /v1/entities/{entity_id}/market_data
prime-api/rest-api/financing/get-portfolio-buying-power	GET /v1/portfolios/{portfolio_id}/buying_power
prime-api/rest-api/financing/get-portfolio-credit-information	GET  /v1/portfolios/{portfolio_id}/credit
prime-api/rest-api/financing/get-portfolio-withdrawal-power	GET /v1/portfolios/{portfolio_id}/withdrawal_power
prime-api/rest-api/financing/get-prime-cross-margin-overview	get /v2/entities/{entity_id}/cross_margin/prime
prime-api/rest-api/financing/get-prime-cross-margin-overview-beta	get /v2/entities/{entity_id}/cross_margin/prime
prime-api/rest-api/financing/get-trade-finance-tiered-pricing-fees	GET /v1/entities/{entity_id}/tf_tiered_fees
prime-api/rest-api/financing/list-cross-margin-liquidations	get /v1/entities/{entity_id}/cross_margin/liquidations
prime-api/rest-api/financing/list-existing-locates	GET /v1/portfolios/{portfolio_id}/locates
prime-api/rest-api/financing/list-financing-eligible-assets	get /v1/financing/eligible-assets
prime-api/rest-api/financing/list-interest-accruals	GET /v1/entities/{entity_id}/accruals
prime-api/rest-api/financing/list-interest-accruals-for-portfolio	GET /v1/portfolios/{portfolio_id}/accruals
prime-api/rest-api/financing/list-margin-call-summaries	GET /v1/entities/{entity_id}/margin_summaries
prime-api/rest-api/financing/list-margin-conversions	GET /v1/portfolios/{portfolio_id}/margin_conversions
prime-api/rest-api/financing/list-trade-finance-obligations	get /v1/entities/{entity_id}/tf_obligations
prime-api/rest-api/financing/update-funding-settings	post /v1/entities/{entity_id}/funding_settings
prime-api/rest-api/financing/update-funding-settings-beta	post /v1/entities/{entity_id}/funding-settings
prime-api/rest-api/futures/cancel-entity-futures-sweep	delete /v1/entities/{entity_id}/futures/sweeps
prime-api/rest-api/futures/create-entity-futures-sweep	DELETE /v1/entities/{entity_id}/futures/sweeps
prime-api/rest-api/futures/get-entity-fcm-balance	GET /v1/entities/{entity_id}/futures/balance_summary
prime-api/rest-api/futures/get-entity-positions	GET /v1/entities/{entity_id}/futures/positions
prime-api/rest-api/futures/get-fcm-equity	get /v1/entities/{entity_id}/futures/equity
prime-api/rest-api/futures/get-fcm-margin-call-details	GET /v1/entities/{entity_id}/futures/margin_call_details
prime-api/rest-api/futures/get-fcm-risk-limits	GET /v1/entities/{entity_id}/futures/risk_limits
prime-api/rest-api/futures/get-fcm-settings	get /v1/entities/{entity_id}/futures/settings
prime-api/rest-api/futures/get-portfolio-derivatives-currency-summary	get /v1/portfolios/{portfolio_id}/derivatives/currency_summary
prime-api/rest-api/futures/list-entity-futures-sweeps	GET /v1/entities/{entity_id}/futures/sweeps
prime-api/rest-api/futures/list-portfolio-derivative-positions	get /v1/portfolios/{portfolio_id}/derivatives/positions
prime-api/rest-api/futures/schedule-entity-futures-sweep	POST  /v1/entities/{entity_id}/futures/sweeps
prime-api/rest-api/futures/set-auto-sweep	POST  /v1/entities/{entity_id}/futures/auto_sweep
prime-api/rest-api/futures/set-fcm-settings	post /v1/entities/{entity_id}/futures/settings
prime-api/rest-api/invoice/list-invoices	GET /v1/entities/{entity_id}/invoices
prime-api/rest-api/onchain-address-book/create-onchain-address-book-entry	POST /v1/portfolios/{portfolio_id}/onchain_address_group
prime-api/rest-api/onchain-address-book/delete-onchain-address-group	DELETE /v1/portfolios/{portfolio_id}/onchain_address_group/{address_group_id}
prime-api/rest-api/onchain-address-book/list-onchain-address-groups	GET /v1/portfolios/{portfolio_id}/onchain_address_groups
prime-api/rest-api/onchain-address-book/update-onchain-address-book-entry	PUT /v1/portfolios/{portfolio_id}/onchain_address_group
prime-api/rest-api/orders/accept-quote	POST /v1/portfolios/{portfolio_id}/accept_quote
prime-api/rest-api/orders/cancel-order	POST /v1/portfolios/{portfolio_id}/orders/{order_id}/cancel
prime-api/rest-api/orders/create-order	POST  /v1/portfolios/{portfolio_id}/order
prime-api/rest-api/orders/create-quote-request	POST /v1/portfolios/{portfolio_id}/rfq
prime-api/rest-api/orders/edit-order	POST  /v1/portfolios/{portfolio_id}/orders/{order_id}/edit
prime-api/rest-api/orders/edit-order-beta	PUT  /v1/portfolios/{portfolio_id}/orders/{order_id}/edit
prime-api/rest-api/orders/get-order-by-order-id	GET /v1/portfolios/{portfolio_id}/orders/{order_id}
prime-api/rest-api/orders/get-order-preview	POST /v1/portfolios/{portfolio_id}/order_preview
prime-api/rest-api/orders/list-open-orders	GET /v1/portfolios/{portfolio_id}/open_orders
prime-api/rest-api/orders/list-order-edit-history	GET  /v1/portfolios/{portfolio_id}/orders/{order_id}/edit_history
prime-api/rest-api/orders/list-order-fills	GET /v1/portfolios/{portfolio_id}/orders/{order_id}/fills
prime-api/rest-api/orders/list-portfolio-fills	GET /v1/portfolios/{portfolio_id}/fills
prime-api/rest-api/orders/list-portfolio-orders	GET  /v1/portfolios/{portfolio_id}/orders
prime-api/rest-api/payment-methods/get-entity-payment-method	GET /v1/entities/{entity_id}/payment-methods/{payment_method_id}
prime-api/rest-api/payment-methods/list-entity-payment-methods	GET /v1/entities/{entity_id}/payment-methods
prime-api/rest-api/portfolios/get-portfolio-by-portfolio-id	GET /v1/portfolios/{portfolio_id}
prime-api/rest-api/portfolios/get-portfolio-counterparty-id	GET /v1/portfolios/{portfolio_id}/counterparty
prime-api/rest-api/portfolios/list-portfolios	GET /v1/portfolios
prime-api/rest-api/positions/list-aggregate-entity-positions	GET /v1/entities/{entity_id}/aggregate_positions
prime-api/rest-api/positions/list-entity-positions	GET /v1/entities/{entity_id}/positions
prime-api/rest-api/products/get-public-product-candles	get /v1/portfolios/{portfolio_id}/candles
prime-api/rest-api/products/list-portfolio-products	GET /v1/portfolios/{portfolio_id}/products
prime-api/rest-api/staking/claim-wallet-staking-rewards-alpha	post /v1/portfolios/{portfolio_id}/wallets/{wallet_id}/staking/claim_rewards
prime-api/rest-api/staking/get-staking-status	get /v1/portfolios/{portfolio_id}/wallets/{wallet_id}/staking/status
prime-api/rest-api/staking/get-unstaking-status	get /v1/portfolios/{portfolio_id}/wallets/{wallet_id}/staking/unstake/status
